Init_Win_bytes_forward,Bwd Packets/s,Init_Win_bytes_backward,Flow Duration,Packet Length Std,Destination Port,Average Packet Size,Total Length of Bwd Packets,Bwd Packet Length Min,Fwd Header Length,Total Backward Packets,Total Length of Fwd Packets,Bwd Packet Length Mean,Flow IAT Min
0,0.005943751812119455,7,82776,16,443,82,492,66,0,6,0,82,205
2048,0,0,48902,283.0887372135567,443,232.14893617021278,0,0,940,0,47,0,0
0,0.003791868548556983,278,90193,19.5,5222,85.5,342,66,0,4,0,85.5,2
2048,0,0,70588,19.704060495238032,443,85.5,0,0,240,0,12,0,11
0,88.83058684054535,149,75915,306.43452884946254,443,1433.2782146652498,6743574,66,0,4705,0,1433.2782146652498,0
65535,0,0,297,416.39115940799724,443,279.6923076923077,0,0,260,0,13,0,0
65535,0,0,521,160.62505459381265,443,140.85714285714286,0,0,280,0,14,0,0
0,0.007493044548145028,32403,90217,18.5,443,84.5,676,66,0,8,0,84.5,44
2048,0,0,82776,25.5,443,91.5,0,0,120,0,6,0,206
65535,0,0,3300,247.5211070044299,443,146.33333333333334,0,0,420,0,21,0,0
0,2.064387211367673,65535,4504,471.2916961137643,443,344.3703703703704,9298,66,0,27,0,344.3703703703704,0
65535,0,0,8548,305.064411203108,443,331.61764705882354,0,0,680,0,34,0,0
0,12.732132658888798,703,98056,660.9001886893852,443,931.6880597014925,1248462,66,0,1340,0,931.6880597014925,0
1874,0,0,65737,200.58794673409466,443,150.775,0,0,800,0,40,0,0
1024,0,0,90164,18.5,443,84.5,0,0,160,0,8,0,0
0,0.36586151368760067,65535,3105,227.36613644076377,443,227.2,1136,66,0,5,0,227.2,0
